iter	Passed	Remaining
0	73	88161
1	85	51192
2	97	38718
3	109	32723
4	121	28926
5	132	26429
6	144	24586
7	156	23290
8	168	22233
9	179	21388
10	191	20691
11	203	20128
12	214	19603
13	226	19179
14	237	18784
15	249	18485
16	262	18275
17	275	18072
18	287	17843
19	298	17638
20	311	17465
21	324	17371
22	336	17212
23	348	17074
24	360	16938
25	372	16813
26	386	16784
27	401	16790
28	413	16691
29	425	16606
30	437	16512
31	451	16474
32	463	16400
33	477	16362
34	490	16314
35	503	16264
36	516	16229
37	528	16161
38	541	16128
39	555	16111
40	570	16139
41	585	16139
42	599	16130
43	611	16078
44	624	16022
45	636	15961
46	650	15950
47	663	15913
48	676	15879
49	690	15885
50	704	15863
51	718	15855
52	731	15835
53	745	15814
54	758	15791
55	771	15765
56	787	15792
57	802	15804
58	817	15809
59	830	15779
60	844	15767
61	858	15750
62	870	15713
63	886	15734
64	902	15761
65	919	15805
66	934	15806
67	950	15815
68	965	15824
69	978	15800
70	993	15792
71	1008	15799
72	1023	15802
73	1037	15792
74	1051	15779
75	1068	15797
76	1083	15799
77	1096	15771
78	1110	15755
79	1124	15740
80	1138	15727
81	1153	15721
82	1167	15707
83	1180	15689
84	1195	15676
85	1210	15678
86	1226	15694
87	1241	15685
88	1257	15692
89	1270	15671
90	1285	15665
91	1299	15648
92	1314	15642
93	1328	15632
94	1342	15612
95	1356	15598
96	1370	15584
97	1385	15576
98	1398	15556
99	1414	15554
100	1429	15557
101	1445	15555
102	1459	15543
103	1472	15522
104	1487	15515
105	1501	15496
106	1517	15498
107	1534	15510
108	1548	15495
109	1565	15513
110	1579	15497
111	1593	15478
112	1607	15460
113	1623	15463
114	1639	15470
115	1654	15459
116	1669	15449
117	1684	15444
118	1698	15431
119	1713	15417
120	1728	15413
121	1742	15396
122	1758	15393
123	1771	15376
124	1786	15361
125	1803	15370
126	1818	15365
127	1835	15373
128	1851	15371
129	1866	15362
130	1880	15348
131	1893	15318
132	1908	15310
133	1921	15284
134	1938	15289
135	1952	15278
136	1966	15257
137	1980	15242
138	1994	15226
139	2008	15208
140	2025	15209
141	2040	15206
142	2060	15229
143	2076	15225
144	2090	15211
145	2104	15192
146	2119	15179
147	2134	15169
148	2150	15169
149	2163	15147
150	2181	15155
151	2195	15138
152	2209	15121
153	2224	15106
154	2239	15096
155	2255	15093
156	2270	15083
157	2285	15073
158	2300	15062
159	2315	15051
160	2330	15041
161	2345	15026
162	2360	15016
163	2373	14994
164	2387	14977
165	2401	14961
166	2416	14949
167	2432	14940
168	2445	14921
169	2461	14911
170	2477	14905
171	2492	14898
172	2507	14887
173	2523	14882
174	2537	14862
175	2553	14854
176	2569	14847
177	2586	14847
178	2600	14833
179	2613	14810
180	2627	14792
181	2642	14778
182	2658	14773
183	2674	14769
184	2691	14765
185	2706	14753
186	2722	14747
187	2736	14730
188	2751	14716
189	2768	14715
190	2784	14711
191	2801	14706
192	2817	14698
193	2834	14700
194	2849	14687
195	2866	14682
196	2881	14672
197	2897	14663
198	2912	14652
199	2927	14636
200	2941	14621
201	2955	14601
202	2971	14592
203	2985	14577
204	3001	14567
205	3016	14554
206	3050	14634
207	3066	14625
208	3079	14603
209	3094	14589
210	3111	14582
211	3126	14570
212	3142	14562
213	3156	14541
214	3169	14522
215	3185	14509
216	3200	14499
217	3215	14483
218	3227	14459
219	3241	14439
220	3254	14419
221	3270	14406
222	3285	14392
223	3301	14384
224	3317	14374
225	3332	14360
226	3347	14349
227	3362	14332
228	3376	14316
229	3391	14302
230	3409	14301
231	3423	14285
232	3438	14271
233	3454	14259
234	3466	14236
235	3481	14221
236	3495	14203
237	3511	14194
238	3528	14186
239	3543	14173
240	3562	14174
241	3578	14167
242	3595	14158
243	3610	14147
244	3624	14127
245	3639	14113
246	3653	14095
247	3667	14078
248	3682	14064
249	3698	14052
250	3712	14035
251	3729	14029
252	3743	14013
253	3759	14001
254	3773	13985
255	3790	13976
256	3804	13960
257	3819	13946
258	3834	13933
259	3849	13917
260	3864	13901
261	3878	13885
262	3891	13865
263	3906	13850
264	3921	13837
265	3938	13828
266	3953	13813
267	3967	13796
268	3982	13783
269	3996	13767
270	4010	13749
271	4025	13732
272	4042	13728
273	4058	13716
274	4074	13705
275	4090	13694
276	4104	13675
277	4116	13653
278	4132	13640
279	4149	13633
280	4166	13625
281	4180	13608
282	4197	13600
283	4210	13579
284	4225	13565
285	4239	13549
286	4254	13534
287	4269	13521
288	4285	13507
289	4300	13494
290	4315	13480
291	4329	13463
292	4346	13453
293	4362	13444
294	4375	13424
295	4388	13403
296	4403	13389
297	4419	13377
298	4435	13367
299	4448	13344
300	4461	13324
301	4476	13310
302	4490	13293
303	4503	13274
304	4518	13257
305	4533	13245
306	4552	13241
307	4566	13226
308	4581	13211
309	4596	13195
310	4609	13177
311	4623	13159
312	4638	13146
313	4652	13127
314	4666	13109
315	4680	13093
316	4697	13083
317	4712	13070
318	4726	13053
319	4741	13040
320	4757	13028
321	4772	13012
322	4787	12999
323	4800	12978
324	4815	12963
325	4830	12949
326	4845	12936
327	4860	12920
328	4874	12904
329	4887	12884
330	4901	12867
331	4917	12855
332	4933	12844
333	4949	12832
334	4965	12820
335	4980	12805
336	4993	12787
337	5008	12773
338	5023	12758
339	5038	12744
340	5054	12733
341	5069	12718
342	5084	12704
343	5098	12685
344	5113	12671
345	5126	12653
346	5140	12636
347	5154	12620
348	5169	12606
349	5184	12591
350	5198	12574
351	5212	12558
352	5226	12540
353	5240	12523
354	5254	12507
355	5270	12495
356	5285	12480
357	5298	12461
358	5314	12448
359	5326	12428
360	5341	12414
361	5359	12406
362	5377	12400
363	5393	12387
364	5410	12376
365	5426	12364
366	5439	12347
367	5455	12333
368	5471	12321
369	5482	12299
370	5497	12284
371	5511	12267
372	5524	12248
373	5541	12238
374	5556	12224
375	5573	12214
376	5588	12199
377	5602	12184
378	5617	12167
379	5632	12153
380	5645	12136
381	5661	12124
382	5676	12108
383	5691	12094
384	5708	12083
385	5723	12069
386	5739	12057
387	5753	12041
388	5772	12033
389	5785	12016
390	5801	12002
391	5818	11993
392	5836	11984
393	5852	11971
394	5870	11963
395	5889	11956
396	5902	11939
397	5917	11924
398	5932	11909
399	5948	11897
400	5966	11887
401	5984	11879
402	6000	11867
403	6015	11852
404	6029	11836
405	6045	11822
406	6059	11805
407	6073	11790
408	6087	11772
409	6100	11755
410	6115	11740
411	6131	11728
412	6147	11715
413	6164	11704
414	6185	11700
415	6204	11693
416	6219	11678
417	6236	11667
418	6251	11652
419	6267	11639
420	6282	11625
421	6298	11612
422	6311	11592
423	6326	11578
424	6341	11564
425	6355	11547
426	6370	11531
427	6386	11520
428	6402	11506
429	6418	11494
430	6433	11479
431	6448	11464
432	6462	11447
433	6477	11432
434	6491	11416
435	6506	11401
436	6517	11379
437	6530	11361
438	6546	11348
439	6564	11339
440	6579	11323
441	6594	11308
442	6609	11294
443	6624	11279
444	6639	11264
445	6652	11246
446	6667	11231
447	6682	11217
448	6699	11205
449	6713	11188
450	6726	11171
451	6741	11155
452	6755	11139
453	6767	11120
454	6783	11106
455	6800	11096
456	6818	11084
457	6832	11068
458	6847	11053
459	6863	11041
460	6877	11024
461	6892	11009
462	6907	10994
463	6923	10981
464	6937	10965
465	6951	10949
466	6966	10934
467	6980	10918
468	6994	10901
469	7012	10891
470	7027	10877
471	7045	10866
472	7058	10849
473	7073	10833
474	7087	10818
475	7101	10802
476	7117	10788
477	7130	10770
478	7144	10754
479	7157	10736
480	7172	10721
481	7187	10707
482	7200	10689
483	7218	10678
484	7234	10665
485	7250	10652
486	7265	10637
487	7278	10618
488	7292	10603
489	7306	10586
490	7321	10572
491	7336	10557
492	7352	10544
493	7365	10526
494	7378	10508
495	7392	10493
496	7408	10479
497	7424	10465
498	7440	10452
499	7455	10437
500	7471	10424
501	7486	10409
502	7506	10401
503	7526	10393
504	7543	10381
505	7558	10367
506	7572	10351
507	7588	10336
508	7602	10321
509	7619	10308
510	7633	10292
511	7651	10281
512	7667	10267
513	7683	10254
514	7699	10241
515	7714	10225
516	7729	10211
517	7745	10198
518	7759	10181
519	7773	10165
520	7789	10151
521	7803	10136
522	7819	10122
523	7836	10109
524	7853	10097
525	7868	10082
526	7882	10066
527	7897	10050
528	7910	10034
529	7924	10018
530	7939	10002
531	7955	9988
532	7968	9971
533	7982	9956
534	7996	9940
535	8010	9924
536	8026	9909
537	8043	9897
538	8060	9884
539	8074	9868
540	8090	9854
541	8106	9841
542	8120	9825
543	8136	9812
544	8151	9796
545	8166	9782
546	8181	9767
547	8195	9750
548	8210	9735
549	8227	9723
550	8242	9708
551	8259	9696
552	8275	9682
553	8290	9667
554	8306	9653
555	8320	9637
556	8335	9622
557	8348	9605
558	8364	9591
559	8378	9575
560	8393	9559
561	8410	9547
562	8428	9535
563	8441	9518
564	8455	9502
565	8470	9487
566	8487	9475
567	8501	9459
568	8515	9443
569	8532	9430
570	8547	9416
571	8561	9399
572	8575	9384
573	8588	9366
574	8601	9349
575	8617	9335
576	8631	9319
577	8644	9302
578	8658	9286
